name,rating,hours,categories,address
OFFSUIT,5 star rating,Closed;5:00 PM - 1:00 AM (Next day);5:00 PM - 1:00 AM (Next day);5:00 PM - 1:00 AM (Next day);4:00 PM - 1:00 AM (Next day);4:00 PM - 1:00 AM (Next day);Closed,Cocktail Bars,"5 Utica St, Boston, MA 02111"
Biddy Early's,4.5 star rating,10:30 AM - 2:00 AM (Next day);10:30 AM - 2:00 AM (Next day);10:30 AM - 2:00 AM (Next day);10:30 AM - 2:00 AM (Next day);10:30 AM - 2:00 AM (Next day);11:00 AM - 2:00 AM (Next day);12:00 PM - 2:00 AM (Next day),Dive Bars,"141 Pearl St, Boston, MA 02110"
Toro,4 star rating,5:00 PM - 9:00 PM;5:00 PM - 9:00 PM;5:00 PM - 9:00 PM;5:00 PM - 9:00 PM;5:00 PM - 10:00 PM;5:00 PM - 10:00 PM;5:00 PM - 9:00 PM,Tapas Bars;Spanish;Cocktail Bars,"1704 Washington St, Boston, MA 02118"
Saltie Girl,4.5 star rating,11:00 AM - 10:00 PM;11:00 AM - 10:00 PM;11:00 AM - 10:00 PM;11:00 AM - 10:00 PM;11:00 AM - 11:00 PM;11:00 AM - 11:00 PM;11:00 AM - 9:00 PM,Seafood;Cocktail Bars,"279 Dartmouth St, Boston, MA 02116"
Sissy K's,3 star rating,11:00 AM - 2:00 AM (Next day);11:00 AM - 2:00 AM (Next day);11:00 AM - 2:00 AM (Next day);11:00 AM - 2:00 AM (Next day);11:00 AM - 2:00 AM (Next day);11:00 AM - 2:00 AM (Next day);11:00 AM - 2:00 AM (Next day),Dance Clubs;Sports Bars,"6 Commercial St, Boston, MA 02109"
Carrie Nation Cocktail Club,3.5 star rating,Closed;11:00 AM - 2:00 AM (Next day);11:00 AM - 2:00 AM (Next day);11:00 AM - 2:00 AM (Next day);11:00 AM - 2:00 AM (Next day);11:00 AM - 2:00 AM (Next day);11:00 AM - 2:00 AM (Next day),American (Traditional);Cocktail Bars,"11 Beacon St, Boston, MA 02108"
Lucky Strike Fenway,2.5 star rating,4:00 PM - 12:00 AM (Next day);4:00 PM - 12:00 AM (Next day);4:00 PM - 12:00 AM (Next day);4:00 PM - 1:00 AM (Next day);4:00 PM - 2:00 AM (Next day);12:00 PM - 2:00 AM (Next day);12:00 PM - 12:00 AM (Next day),Bowling;Venues & Event Spaces;Arcades,"145 Ipswich St, Boston, MA 02215"
The Friendly Toast,3.5 star rating,8:00 AM - 3:00 PM;8:00 AM - 3:00 PM;8:00 AM - 3:00 PM;8:00 AM - 3:00 PM;8:00 AM - 8:00 PM;8:00 AM - 8:00 PM;8:00 AM - 3:00 PM,Breakfast & Brunch;Bars,"50 Independence Way, Danvers, MA 01923"
Drink,4 star rating,Closed;Closed;Closed;5:00 PM - 1:00 AM (Next day);5:00 PM - 1:00 AM (Next day);5:00 PM - 1:00 AM (Next day);Closed,Cocktail Bars;Venues & Event Spaces,"348 Congress St, Boston, MA 02228"
Mixx 360,3.5 star rating,6:00 PM - 2:00 AM (Next day);6:00 PM - 2:00 AM (Next day);6:00 PM - 2:00 AM (Next day);6:00 PM - 2:00 AM (Next day);6:00 PM - 2:00 AM (Next day);12:00 PM - 2:00 AM (Next day);12:00 PM - 2:00 AM (Next day),Dance Clubs;Venues & Event Spaces;Music Venues,"665 Broadway, Malden, MA 02148"
Down Boston,2.5 star rating,Closed;Closed;Closed;10:00 PM - 2:00 AM (Next day);10:00 PM - 2:00 AM (Next day);10:00 PM - 2:00 AM (Next day);Closed,Lounges;Dance Clubs,"184 High St, Boston, MA 02110"
Wally's Cafe,4 star rating,5:00 PM - 2:00 AM (Next day);5:00 PM - 2:00 AM (Next day);5:00 PM - 2:00 AM (Next day);5:00 PM - 2:00 AM (Next day);5:00 PM - 2:00 AM (Next day);5:00 PM - 2:00 AM (Next day);5:00 PM - 2:00 AM (Next day),Jazz & Blues;Music Venues,"427 Massachusetts Ave, Boston, MA 02118"
Toad,4 star rating,5:00 PM - 1:00 AM (Next day);5:00 PM - 1:00 AM (Next day);5:00 PM - 1:00 AM (Next day);5:00 PM - 2:00 AM (Next day);5:00 PM - 2:00 AM (Next day);5:00 PM - 2:00 AM (Next day);3:00 PM - 1:00 AM (Next day),Music Venues;Dance Clubs;Dive Bars,"1912 Massachusetts Ave, Cambridge, MA 02140"
SOJUba,4 star rating,5:00 PM - 1:00 AM (Next day);5:00 PM - 1:00 AM (Next day);5:00 PM - 1:00 AM (Next day);5:00 PM - 2:00 AM (Next day);5:00 PM - 2:00 AM (Next day);5:00 PM - 2:00 AM (Next day);5:00 PM - 2:00 AM (Next day),Korean;Lounges,"1265 Boylston St, Boston, MA 02215"
Big Night Live,2.5 star rating,,Music Venues;Dance Clubs;Bars,"110 Causeway St, Boston, MA 02114"
Paradise Rock Club,3.5 star rating,5:00 PM - 2:00 AM (Next day);5:00 PM - 2:00 AM (Next day);5:00 PM - 2:00 AM (Next day);5:00 PM - 2:00 AM (Next day);5:00 PM - 2:00 AM (Next day);5:00 PM - 2:00 AM (Next day);5:00 PM - 2:00 AM (Next day),Bars;Music Venues,"967 Commonwealth Ave, Boston, MA 02215"
Big Night Live,2.5 star rating,,Music Venues;Dance Clubs;Bars,"110 Causeway St, Boston, MA 02114"
