name,rating,hours,categories,address
Tea Do - Boston,4 star rating,10:30 AM - 10:45 PM;10:30 AM - 10:45 PM;10:30 AM - 10:45 PM;10:30 AM - 10:45 PM;10:30 AM - 11:45 PM;10:30 AM - 11:45 PM;10:30 AM - 10:45 PM,Coffee & Tea;Bubble Tea;Juice Bars & Smoothies,"8 Tyler St, Boston, MA 02111"
Cafe Luna Catering,N/A,9:00 AM - 2:00 PM;9:00 AM - 2:00 PM;9:00 AM - 2:00 PM;9:00 AM - 2:00 PM;9:00 AM - 2:00 PM;10:00 AM - 2:00 PM;10:00 AM - 2:00 PM,,"612 Main St, Cambridge, MA 02139"
Juice Press,3 star rating,8:00 AM - 8:00 PM;8:00 AM - 8:00 PM;8:00 AM - 8:00 PM;8:00 AM - 8:00 PM;8:00 AM - 8:00 PM;9:00 AM - 5:00 PM;9:00 AM - 5:00 PM,Juice Bars & Smoothies;Organic Stores,"500 Boylston St, Boston, MA 02116"
Hogg Batch Coffee,5 star rating,,Coffee Roasteries,"2327 Central Ave, St. Petersburg, FL 33713"
Jonquils Cafe & Bakery,4 star rating,9:00 AM - 6:00 PM;9:00 AM - 6:00 PM;9:00 AM - 6:00 PM;9:00 AM - 6:00 PM;9:00 AM - 6:00 PM;9:00 AM - 6:00 PM;9:00 AM - 6:00 PM,Cafes;Coffee & Tea;Bakeries,"125 Newbury St, Boston, MA 02116"
Glasser Coffee,5 star rating,7:00 AM - 3:00 PM;7:00 AM - 3:00 PM;7:00 AM - 3:00 PM;7:00 AM - 3:00 PM;7:00 AM - 3:00 PM;8:00 AM - 3:00 PM;8:00 AM - 3:00 PM,Coffee & Tea,"589 Washington St, Boston, MA 02135"
Farmer Horse Coffee,4 star rating,7:00 AM - 6:00 PM;7:00 AM - 6:00 PM;7:00 AM - 6:00 PM;7:00 AM - 6:00 PM;7:00 AM - 6:00 PM;7:00 AM - 6:00 PM;8:00 AM - 6:00 PM,Coffee & Tea,"374 Massachusetts Ave, Boston, MA 02115"
L.A. Burdick Handmade Chocolates,4.5 star rating,8:00 AM - 8:00 PM;8:00 AM - 8:00 PM;8:00 AM - 8:00 PM;8:00 AM - 8:00 PM;8:00 AM - 8:00 PM;8:00 AM - 8:00 PM;8:00 AM - 8:00 PM,Desserts;Chocolatiers & Shops;Coffee & Tea,"220 Clarendon St, Boston, MA 02116"
Cuppacoffee,4.5 star rating,6:00 AM - 6:00 PM;6:00 AM - 6:00 PM;7:00 AM - 6:00 PM;7:00 AM - 6:00 PM;7:00 AM - 6:00 PM;9:00 AM - 4:00 PM;Closed,Coffee & Tea,"1 Merrimac St, Boston, MA 02114"
Blue Bottle Coffee,4 star rating,7:00 AM - 8:00 PM;7:00 AM - 8:00 PM;7:00 AM - 8:00 PM;7:00 AM - 8:00 PM;7:00 AM - 8:00 PM;7:00 AM - 8:00 PM;7:00 AM - 8:00 PM,Coffee & Tea,"800 Boylston St, Ste 25"
Pavement Coffeehouse,4 star rating,7:00 AM - 2:00 PM;7:00 AM - 2:00 PM;7:00 AM - 2:00 PM;7:00 AM - 2:00 PM;7:00 AM - 2:00 PM;7:00 AM - 2:00 PM;7:00 AM - 2:00 PM,Coffee & Tea;Sandwiches;Bagels,"1096 Boylston St, Boston, MA 02215"
Blunch,4.5 star rating,8:00 AM - 3:00 PM;8:00 AM - 3:00 PM;8:00 AM - 3:00 PM;8:00 AM - 3:00 PM;8:00 AM - 3:00 PM;Closed;Closed,Breakfast & Brunch;Coffee & Tea;Sandwiches,"59 E Springfield St, Boston, MA 02118"
Pavement Coffeehouse,4 star rating,7:00 AM - 2:00 PM;7:00 AM - 2:00 PM;7:00 AM - 2:00 PM;7:00 AM - 2:00 PM;7:00 AM - 2:00 PM;7:00 AM - 2:00 PM;7:00 AM - 2:00 PM,Coffee & Tea;Sandwiches;Bagels,"1096 Boylston St, Boston, MA 02215"
Flour Bakery + Café,4 star rating,7:00 AM - 7:00 PM;7:00 AM - 7:00 PM;7:00 AM - 7:00 PM;7:00 AM - 7:00 PM;7:00 AM - 7:00 PM;8:00 AM - 6:00 PM;8:00 AM - 6:00 PM,Coffee & Tea;Bakeries;Sandwiches,"190 Massachusetts Ave, Cambridge, MA 02139"
Cafe Luna Catering,Rating,9:00 AM - 2:00 PM;9:00 AM - 2:00 PM;9:00 AM - 2:00 PM;9:00 AM - 2:00 PM;9:00 AM - 2:00 PM;10:00 AM - 2:00 PM;10:00 AM - 2:00 PM,,"612 Main St, Cambridge, MA 02139"
Juice Press,3.5 star rating,8:00 AM - 8:00 PM;8:00 AM - 8:00 PM;8:00 AM - 8:00 PM;8:00 AM - 8:00 PM;8:00 AM - 8:00 PM;8:30 AM - 5:00 PM;8:30 AM - 5:00 PM,Juice Bars & Smoothies;Vegan;Organic Stores,"109 Seaport Blvd, Boston, MA 02210"
Hogg Batch Coffee,5 star rating,,Coffee Roasteries,"2327 Central Ave, St. Petersburg, FL 33713"
Modern Pastry Shop,4 star rating,8:00 AM - 11:00 PM;8:00 AM - 11:00 PM;8:00 AM - 11:00 PM;8:00 AM - 11:00 PM;8:00 AM - 12:00 AM (Next day);8:00 AM - 12:00 AM (Next day);8:00 AM - 11:00 PM,Bakeries;Coffee & Tea;Desserts,"257 Hanover St, Boston, MA 02113"
George Howell Coffee,4 star rating,7:00 AM - 3:00 PM;7:00 AM - 3:00 PM;7:00 AM - 3:00 PM;7:00 AM - 5:00 PM;7:00 AM - 5:00 PM;7:00 AM - 5:00 PM;7:00 AM - 5:00 PM,Coffee & Tea,"505 Washington St, Boston, MA 02111"
Fenway Cafe,4.5 star rating,7:00 AM - 9:00 PM;7:00 AM - 9:00 PM;7:00 AM - 9:00 PM;7:00 AM - 9:00 PM;7:00 AM - 9:00 PM;7:00 AM - 9:00 PM;7:00 AM - 9:00 PM,Coffee & Tea;Ice Cream & Frozen Yogurt,"61 Brookline Ave, Boston, MA 02215"
Thinking Cup,4 star rating,7:00 AM - 7:00 PM;7:00 AM - 7:00 PM;7:00 AM - 7:00 PM;7:00 AM - 7:00 PM;7:00 AM - 7:00 PM;7:00 AM - 7:00 PM;7:00 AM - 7:00 PM,Coffee & Tea;Sandwiches;Bagels,"236 Hanover St, Boston, MA 02113"
Café Luna,4 star rating,9:00 AM - 2:00 PM;9:00 AM - 2:00 PM;9:00 AM - 2:00 PM;9:00 AM - 2:00 PM;9:00 AM - 2:00 PM;9:00 AM - 4:00 PM;9:00 AM - 4:00 PM,Coffee & Tea;Sandwiches;Breakfast & Brunch,"612 Main St, Cambridge, MA 02139"
Darwin's,4 star rating,8:00 AM - 3:00 PM;8:00 AM - 3:00 PM;8:00 AM - 3:00 PM;8:00 AM - 3:00 PM;8:00 AM - 3:00 PM;8:00 AM - 3:00 PM;8:00 AM - 3:00 PM,Cafes;Coffee & Tea,"313 Massachusetts Ave, Cambridge, MA 02139"
Tatte Bakery & Cafe,4.5 star rating,7:00 AM - 6:00 PM;7:00 AM - 6:00 PM;7:00 AM - 6:00 PM;7:00 AM - 6:00 PM;7:00 AM - 6:00 PM;7:00 AM - 6:00 PM;7:00 AM - 4:00 PM,Coffee & Tea;Bakeries;Breakfast & Brunch,"200 Pier Four Blvd, Boston, MA 02210"
La Colombe Coffee,4.5 star rating,8:00 AM - 3:00 PM;8:00 AM - 3:00 PM;8:00 AM - 3:00 PM;8:00 AM - 3:00 PM;8:00 AM - 3:00 PM;Closed;Closed,Coffee & Tea,"745 Atlantic Ave, Boston, MA 02111"
Cafe G,4 star rating,11:00 AM - 5:00 PM;Closed;11:00 AM - 5:00 PM;11:00 AM - 9:00 PM;11:00 AM - 5:00 PM;11:00 AM - 5:00 PM;11:00 AM - 5:00 PM,American (New);Coffee & Tea;Bars,"25 Evans Way, Isabella Stewart Gardner Museum"
