name,rating,hours,categories,address
Harvard Beauty Spa,4 star rating,10:00 AM - 7:00 PM;10:00 AM - 7:00 PM;10:00 AM - 7:00 PM;10:00 AM - 7:00 PM;10:00 AM - 7:00 PM;10:00 AM - 6:00 PM;11:00 AM - 5:00 PM,Skin Care;Hair Salons;Nail Salons,"997 Massachusetts Ave, Cambridge, MA 02119"
Magic Touch Salon,3 star rating,,Hair Salons,"72 Tyler St, Boston, MA 02111"
Medical Aesthetics on Tremont,5 star rating,Closed;10:00 AM - 6:00 PM;10:00 AM - 6:00 PM;11:00 AM - 7:00 PM;10:00 AM - 6:00 PM;9:00 AM - 4:00 PM;Closed,Medical Spas;Laser Hair Removal;Skin Care,"655 Tremont St, Ste C2"
Zubeda's Spa & Salon,4.5 star rating,11:00 AM - 7:00 PM;11:00 AM - 7:00 PM;10:00 AM - 8:00 PM;10:00 AM - 8:00 PM;10:00 AM - 8:00 PM;9:00 AM - 5:00 PM;Closed,Day Spas;Nail Salons;Hair Salons,"452 Salem St, Medford, MA 02155"
Upscale Nail Design,3 star rating,,Nail Salons,"300 Warren St, Ste C"
Bluemercury,3.5 star rating,10:00 AM - 7:00 PM;10:00 AM - 7:00 PM;10:00 AM - 7:00 PM;10:00 AM - 8:00 PM;10:00 AM - 8:00 PM;10:00 AM - 8:00 PM;11:00 AM - 6:00 PM,Day Spas;Cosmetics & Beauty Supply,"105 Seaport Blvd, Boston, MA 02210"
Purely Aesthetics,5 star rating,8:00 AM - 5:00 PM;8:00 AM - 5:00 PM;8:00 AM - 5:00 PM;8:00 AM - 5:00 PM;8:00 AM - 5:00 PM;9:00 AM - 12:00 PM;Closed,Medical Spas;Skin Care,"200 Providence Hwy, Ste 205B"
Felicia's Cosmetics,4.5 star rating,11:00 AM - 7:30 PM;11:00 AM - 7:30 PM;11:00 AM - 7:30 PM;11:00 AM - 7:30 PM;11:00 AM - 7:30 PM;11:00 AM - 7:30 PM;11:00 AM - 7:30 PM,Cosmetics & Beauty Supply,"316 Newbury St, Ste 21"
MiniLuxe Westwood,4 star rating,10:00 AM - 6:00 PM;10:00 AM - 6:00 PM;10:00 AM - 6:00 PM;10:00 AM - 6:00 PM;10:00 AM - 6:00 PM;9:00 AM - 5:00 PM;9:00 AM - 5:00 PM,Nail Salons;Waxing;Cosmetics & Beauty Supply,"129 University Ave, Westwood, MA 02090"
Rainbow Health Center,4 star rating,10:00 AM - 10:00 PM;10:00 AM - 10:00 PM;10:00 AM - 10:00 PM;10:00 AM - 10:00 PM;10:00 AM - 10:00 PM;10:00 AM - 10:00 PM;10:00 AM - 10:00 PM,Reflexology;Tui Na;Day Spas,"36 Gloucester St, Ste 2"
Radiant Spa & Massage,4.5 star rating,10:00 AM - 8:00 PM;10:00 AM - 8:00 PM;10:00 AM - 8:00 PM;10:00 AM - 8:00 PM;10:00 AM - 8:00 PM;10:00 AM - 8:00 PM;10:00 AM - 8:00 PM,Massage;Reflexology,"431 Centre St, Newton, MA 02458"
Skin Studio,4.5 star rating,Closed;10:30 AM - 6:00 PM;10:30 AM - 6:00 PM;10:00 AM - 7:00 PM;10:00 AM - 4:00 PM;9:00 AM - 6:00 PM;Closed,Hair Removal;Skin Care;Medical Spas,"697 Cambridge St, Ste 206"
Aer Nailbar,4.5 star rating,9:30 AM - 7:00 PM;9:30 AM - 6:00 PM;9:30 AM - 7:00 PM;9:30 AM - 7:00 PM;9:30 AM - 7:00 PM;9:00 AM - 6:00 PM;10:00 AM - 5:00 PM,Nail Salons;Waxing,"1042 Beacon St, Brookline, MA 02446"
Salon 428 Hair By Kent,4.5 star rating,Closed;10:00 AM - 8:00 PM;10:00 AM - 8:00 PM;10:00 AM - 8:00 PM;10:00 AM - 8:00 PM;9:00 AM - 6:00 PM;Closed,Hair Stylists,"428 Massachusetts Ave, Boston, MA 02118"
Tao's Beauty Store,4 star rating,12:00 PM - 7:30 PM;12:00 PM - 7:30 PM;12:00 PM - 7:30 PM;12:00 PM - 7:30 PM;11:30 AM - 8:30 PM;11:30 AM - 8:30 PM;11:30 AM - 8:30 PM,Cosmetics & Beauty Supply,"35 Harrison Ave, Boston, MA 02111"
Kate Garms Massage Therapy,5 star rating,,Massage,"1141 Beacon St, Ste C1"
