name,rating,hours,categories,address
Otis House,4.5 star rating,Closed;Closed;11:00 AM - 7:30 PM;11:00 AM - 4:30 PM;11:00 AM - 4:30 PM;11:00 AM - 4:30 PM;11:00 AM - 4:30 PM,Museums,"141 Cambridge St, Boston, MA 02114"
Muse Paintbar,4.5 star rating,6:30 PM - 9:30 PM;6:30 PM - 9:30 PM;6:30 PM - 9:30 PM;6:30 PM - 9:30 PM;2:30 PM - 9:30 PM;10:30 AM - 9:30 PM;12:30 PM - 7:30 PM,Paint & Sip;Art Classes;Party & Event Planning,"461 Artisan Way, Somerville, MA 02145"
Artisan's Asylum,4 star rating,12:00 PM - 10:00 PM;12:00 PM - 10:00 PM;12:00 PM - 10:00 PM;12:00 PM - 10:00 PM;10:00 AM - 6:00 PM;10:00 AM - 6:00 PM;10:00 AM - 6:00 PM,Community Service/Non-Profit;Specialty Schools;Makerspaces,"10 Tyler St, Somerville, MA 02143"
Boston Circus Guild,5 star rating,9:00 AM - 6:00 PM;9:00 AM - 6:00 PM;9:00 AM - 6:00 PM;9:00 AM - 6:00 PM;9:00 AM - 6:00 PM;Closed;Closed,Performing Arts,N/A
ImprovBoston,4 star rating,Closed;Closed;6:30 PM - 12:00 AM (Next day);6:30 PM - 12:00 AM (Next day);6:30 PM - 12:00 AM (Next day);10:30 AM - 12:00 AM (Next day);10:30 AM - 12:00 AM (Next day),Performing Arts;Comedy Clubs;Venues & Event Spaces,"40 Prospect St, Cambridge, MA 02139"
Brew at the Zoo,4.5 star rating,,Festivals,"1 Franklin Park Rd, Boston, MA 02121"
PAX East,3.5 star rating,,Arcades;Festivals,"415 Summer St, Boston Convention & Exhibition Center"
American Craft Beer Fest,4 star rating,,Festivals,"Seaport World Trade Center Boston, Boston, MA 02210"
Wally's Cafe,4 star rating,5:00 PM - 2:00 AM (Next day);5:00 PM - 2:00 AM (Next day);5:00 PM - 2:00 AM (Next day);5:00 PM - 2:00 AM (Next day);5:00 PM - 2:00 AM (Next day);5:00 PM - 2:00 AM (Next day);5:00 PM - 2:00 AM (Next day),Jazz & Blues;Music Venues,"427 Massachusetts Ave, Boston, MA 02118"
Moody Street Circus,5 star rating,,Performing Arts;Dance Schools,"397 Moody St, Fl 2"
Harvard Film Archive,4.5 star rating,,Cinema,"24 Quincy St, Cambridge, MA 02238"
Somerville Theatre,4.5 star rating,,Cinema,"55 Davis Sq, Somerville, MA 02144"
Shear Madness - A Comedy Whodunit,4.5 star rating,Closed;8:00 PM - 10:00 PM;8:00 PM - 10:00 PM;8:00 PM - 10:00 PM;8:00 PM - 10:00 PM;5:00 PM - 7:00 PM;8:00 PM - 10:00 PM;3:00 PM - 5:00 PM;6:00 PM - 8:00 PM,Performing Arts,"74 Warrenton St, Charles Playhouse Stage II"
Encore Boston Harbor,2.5 star rating,Open 24 hours;Open 24 hours;Open 24 hours;Open 24 hours;Open 24 hours;Open 24 hours;Open 24 hours,Resorts;Casinos,"1 Broadway, Everett, MA 02149"
Howl at the Moon Boston,3 star rating,Closed;Closed;Closed;6:00 PM - 2:00 AM (Next day);6:00 PM - 2:00 AM (Next day);6:00 PM - 2:00 AM (Next day);Closed,Bars;Music Venues;Venues & Event Spaces,"184 High St, Boston, MA 02110"
Gibson House Museum,4 star rating,Closed;Closed;Closed;3:00 PM - 5:00 PM;1:00 PM - 3:00 PM;1:00 PM - 3:00 PM;1:00 PM - 3:00 PM,Museums,"137 Beacon St, Boston, MA 02116"
The Art Collector,5 star rating,9:00 AM - 5:00 PM;9:00 AM - 5:00 PM;9:00 AM - 5:00 PM;9:00 AM - 5:00 PM;9:00 AM - 5:00 PM;9:00 AM - 5:00 PM;Closed,Art Galleries;Appraisal Services,"382 Commonwealth Ave, Boston, MA 02215"
Rose Art Museum,4 star rating,Closed;Closed;11:00 AM - 5:00 PM;11:00 AM - 5:00 PM;11:00 AM - 5:00 PM;11:00 AM - 5:00 PM;11:00 AM - 5:00 PM,Art Museums,"415 South St, Brandeis University"
Metropolitan Waterworks Museum,4.5 star rating,Closed;Closed;11:00 AM - 4:00 PM;11:00 AM - 4:00 PM;11:00 AM - 4:00 PM;11:00 AM - 4:00 PM;11:00 AM - 4:00 PM,Museums;Venues & Event Spaces;Educational Services,"2450 Beacon St, Boston, MA 02467"
Balance Patch,4.5 star rating,4:00 PM - 12:00 AM (Next day);4:00 PM - 12:00 AM (Next day);4:00 PM - 12:00 AM (Next day);4:00 PM - 12:00 AM (Next day);2:00 PM - 12:00 AM (Next day);2:00 PM - 12:00 AM (Next day);2:00 PM - 12:00 AM (Next day),LAN Centers,"1031 Commonwealth Ave, Boston, MA 02215"
Dorchester Art Project,5 star rating,Closed;Closed;Closed;Closed;Closed;12:00 PM - 5:00 PM;Closed,Art Galleries;Venues & Event Spaces;Art Space Rentals,"1486 Dorchester Ave, Boston, MA 02122"
Lexington Arts & Craft Soc,4.5 star rating,Closed;11:00 AM - 5:00 PM;11:00 AM - 5:00 PM;11:00 AM - 5:00 PM;11:00 AM - 5:00 PM;10:00 AM - 5:00 PM;10:00 AM - 5:00 PM,Art Galleries;Community Service/Non-Profit;Art Classes,"130 Waltham St, Lexington, MA 02421"
Galerie d'Orsay,5 star rating,10:00 AM - 6:00 PM;10:00 AM - 6:00 PM;10:00 AM - 6:00 PM;10:00 AM - 6:00 PM;10:00 AM - 6:00 PM;10:00 AM - 6:00 PM;12:00 PM - 6:00 PM,Art Galleries,"33 Newbury St, Boston, MA 02116"
Good Glass,4 star rating,12:00 PM - 8:00 PM;12:00 PM - 8:00 PM;12:00 PM - 8:00 PM;12:00 PM - 8:00 PM;12:00 PM - 8:00 PM;12:00 PM - 8:00 PM;12:00 PM - 8:00 PM,Head Shops;Tobacco Shops;Art Galleries,"244 Brighton Ave, Ste 103"
Maud Morgan Arts Center,4.5 star rating,9:00 AM - 8:00 PM;9:00 AM - 8:00 PM;9:00 AM - 8:00 PM;9:00 AM - 8:00 PM;9:00 AM - 8:00 PM;Closed;Closed,Art Classes;Art Galleries,"20A Sacramento St, Cambridge, MA 02138"
Cyclorama at Boston Center for the Arts,4 star rating,,Venues & Event Spaces;Performing Arts,"539 Tremont St, Boston, MA 02116"
Eastcoastgaming,4 star rating,8:00 AM - 12:00 AM (Next day);8:00 AM - 12:00 AM (Next day);8:00 AM - 12:00 AM (Next day);8:00 AM - 12:00 AM (Next day);8:00 AM - 12:00 AM (Next day);8:00 AM - 12:00 AM (Next day);8:00 AM - 12:00 AM (Next day),Arcades;Party Equipment Rentals,N/A
International Poster Gallery,4 star rating,10:00 AM - 6:00 PM;10:00 AM - 6:00 PM;10:00 AM - 6:00 PM;10:00 AM - 6:00 PM;10:00 AM - 6:00 PM;10:00 AM - 6:00 PM;12:00 PM - 6:00 PM,Art Galleries,"460C Harrison Ave, Ste C19"
Boston Fire Museum,5 star rating,Closed;Closed;Closed;Closed;Closed;9:30 AM - 4:00 PM;Closed,Museums;Landmarks & Historical Buildings,"344 Congress St, Boston, MA 02210"
PAX East,3.5 star rating,,Arcades;Festivals,"415 Summer St, Boston Convention & Exhibition Center"
Oberon,4 star rating,12:00 PM - 5:00 PM;12:00 PM - 5:00 PM;12:00 PM - 5:00 PM;12:00 PM - 5:00 PM;12:00 PM - 5:00 PM;12:00 PM - 5:00 PM;12:00 PM - 5:00 PM,Performing Arts;Bars,"2 Arrow St, Cambridge, MA 02138"
Lucky Strike - Somerville,3 star rating,Closed;4:00 PM - 12:00 AM (Next day);4:00 PM - 12:00 AM (Next day);4:00 PM - 12:00 AM (Next day);4:00 PM - 1:00 AM (Next day);12:00 PM - 1:00 AM (Next day);12:00 PM - 12:00 AM (Next day),Bowling;Arcades;Venues & Event Spaces,"325 Revolution Dr, Ste 1128"
The Paul Revere House,3.5 star rating,10:00 AM - 4:15 PM;10:00 AM - 4:15 PM;10:00 AM - 4:15 PM;10:00 AM - 4:15 PM;10:00 AM - 4:15 PM;10:00 AM - 4:15 PM;10:00 AM - 4:15 PM,Museums,"19 North Sq, Boston, MA 02113"
Boston Bowl - Dorchester,3.5 star rating,Open 24 hours;Open 24 hours;Open 24 hours;Open 24 hours;Open 24 hours;Open 24 hours;Open 24 hours,Bowling;Arcades;Venues & Event Spaces,"820 Morrissey Blvd, Boston, MA 02122"
The Lilypad,4 star rating,7:00 PM - 1:00 AM (Next day);7:00 PM - 1:00 AM (Next day);7:00 PM - 1:00 AM (Next day);7:00 PM - 1:00 AM (Next day);7:00 PM - 1:00 AM (Next day);1:00 PM - 1:00 AM (Next day);1:00 PM - 1:00 AM (Next day),Music Venues;Venues & Event Spaces,"1353 Cambridge St, Cambridge, MA 02139"
