name,rating,hours,categories,address
Take Flight Aerial Adventures,4 star rating,Closed;Closed;Closed;Closed;Closed;10:00 AM - 3:00 PM;Closed,Climbing;Challenge Courses;Tours,"506 Blue Star Memorial Hwy, Kittery, ME 03904"
Urban AdvenTours,4.5 star rating,9:00 AM - 2:00 PM;3:00 PM - 6:00 PM;9:00 AM - 2:00 PM;3:00 PM - 6:00 PM;9:00 AM - 2:00 PM;3:00 PM - 6:00 PM;9:00 AM - 2:00 PM;3:00 PM - 6:00 PM;9:00 AM - 2:00 PM;3:00 PM - 6:00 PM;Closed;Closed,Tours;Bike Rentals;Bike Repair/Maintenance,"103 Atlantic Ave, Boston, MA 02110"
McGolf,4 star rating,8:00 AM - 11:00 PM;8:00 AM - 11:00 PM;8:00 AM - 11:00 PM;8:00 AM - 11:00 PM;8:00 AM - 11:00 PM;8:00 AM - 11:00 PM;8:00 AM - 11:00 PM,Golf;Mini Golf,"150 Bridge St Rt 109, Dedham, MA 02026"
Buckmaster Pond,5 star rating,,Lakes;Parks,"350 Pond St, Westwood, MA 02090"
Esplanade Playspace,5 star rating,,Playgrounds,"Dr Paul Dudley White Bike Path, Boston, MA 02116"
BCYF Curtis Hall Community Center,4 star rating,6:30 AM - 9:00 PM;6:30 AM - 9:00 PM;6:30 AM - 9:00 PM;6:30 AM - 9:00 PM;6:30 AM - 9:00 PM;6:30 AM - 9:00 PM;9:00 AM - 5:00 PM,Gyms;Swimming Pools;Community Centers,"20 South St, Jamaica Plain, MA 02130"
Horn Pond,4.5 star rating,,Lakes,"Lake Street And Arlington Rd, Woburn, MA 02228"
Lynn Woods Reservation,4.5 star rating,,Parks,"106 Pennybrook Rd, Lynn, MA 01905"
Back to Basics Martial Arts & Fitness,5 star rating,9:00 AM - 10:00 PM;7:00 AM - 10:00 PM;9:00 AM - 10:00 PM;7:00 AM - 10:00 PM;9:00 AM - 9:00 PM;Closed;10:30 AM - 1:00 PM,Brazilian Jiu-jitsu;Muay Thai;Physical Therapy,"334 Newbury St, Boston, MA 02115"
Train Boston,5 star rating,5:30 AM - 8:00 PM;5:30 AM - 8:00 PM;5:30 AM - 8:00 PM;5:30 AM - 8:00 PM;5:30 AM - 6:00 PM;8:00 AM - 2:00 PM;8:00 AM - 2:00 PM,Trainers;Physical Therapy;Weight Loss Centers,"34 Washington St, Wellesley Hills, MA 02481"
Pure Barre - Boston,4.5 star rating,6:00 AM - 9:00 PM;6:00 AM - 9:00 PM;6:00 AM - 9:00 PM;6:00 AM - 9:00 PM;6:00 AM - 7:30 PM;7:00 AM - 4:30 PM;8:00 AM - 6:30 PM,Barre Classes;Women's Clothing;Cardio Classes,"350 Newbury St, Boston, MA 02115"
Copley Square,4 star rating,,Parks,"560 Boylston St, Boston, MA 02116"
Puzzle Break Newton - Escape Room,4.5 star rating,10:00 AM - 9:00 PM;10:00 AM - 9:00 PM;10:00 AM - 9:00 PM;10:00 AM - 10:00 PM;10:00 AM - 11:00 PM;10:00 AM - 11:00 PM;10:00 AM - 10:00 PM,Escape Games,"792 Beacon St, Newton Centre, MA 02459"
